module_title,lesson_title,youtube_url,required_access,order_index
Module- 1: Foundation of Vedic Mathematics,Introduction to Vedic Mathematics – History & Origin,https://youtu.be/-pg8kJFa4xo,partial,1
Module- 1: Foundation of Vedic Mathematics,What is Vedic Mathematics? Uses and Benefits of Vedic Mathematics,https://youtu.be/K36ObWjVxcQ,partial,2
Module- 1: Foundation of Vedic Mathematics,Common Terminologies Used in Vedic Maths,https://youtu.be/PLIK9rxpPyc,partial,3
Module- 1: Foundation of Vedic Mathematics,Beejank / Digit Sum / Digital Root,https://youtu.be/K5X6NfsLjeI,partial,4
Module- 1: Foundation of Vedic Mathematics,Applications of Beejank in Quick Checking,https://youtu.be/iI8vABluQMM,partial,5
Module- 1: Foundation of Vedic Mathematics,Finding Complements (Purak),https://youtu.be/rpHO4Xajz2Y,partial,6
Module- 1: Foundation of Vedic Mathematics,Balancing Lines Method for Complements,https://youtu.be/rGHHALNGUcA,partial,7
Module- 1: Foundation of Vedic Mathematics,"Multiplication Tables ending with 9, 19, 29 … 99",https://youtu.be/zjEaEVkKLzQ,partial,8
Module- 1: Foundation of Vedic Mathematics,Multiplication Tables of Any Two-Digit Numbers,https://youtu.be/VzuohZyWXFg,partial,9
Module- 1: Foundation of Vedic Mathematics,Vinculum Numbers – Introduction,https://youtu.be/A3n-atHyA1I,partial,10
Module- 1: Foundation of Vedic Mathematics,Converting Normal Numbers to Vinculum Form,https://youtu.be/61T93Ykuvqk,partial,11
Module- 1: Foundation of Vedic Mathematics,Converting Vinculum Numbers to Normal Form,https://youtu.be/Yzfa1hugn7k,partial,12
Module- 1: Foundation of Vedic Mathematics,Verifying Vinculum using Beejank Concept,https://youtu.be/7cWJvxGgS3s,partial,13
Module- 1: Foundation of Vedic Mathematics,Applications of Vinculum Numbers,https://youtu.be/qxEZRLWvnFQ,partial,14
Module- 1: Foundation of Vedic Mathematics,Multiplication Tables using Vinculum (Operators),https://youtu.be/2Yvx_zpm48Q,partial,15
Module- 1: Foundation of Vedic Mathematics,Addition by Whole Method,https://youtu.be/ukLV7Z0Euo4,partial,16
Module- 1: Foundation of Vedic Mathematics,Place-wise Addition,https://youtu.be/YqeQhYv5Ezs,partial,17
Module- 1: Foundation of Vedic Mathematics,Addition by Shuddha Method,https://youtu.be/vNHLkyIWzdA,partial,18
Module- 1: Foundation of Vedic Mathematics,Subtraction by Shuddha Method,https://youtu.be/gERJ-lzX9cw,partial,19
Module- 1: Foundation of Vedic Mathematics,Trick – All from 9 and the Last from 10,https://youtu.be/6P7pOGpr-Ug,partial,20
Module- 1: Foundation of Vedic Mathematics,Subtraction Overview,https://youtu.be/SZmra3gb-q8,partial,21
Module- 1: Foundation of Vedic Mathematics,Simultaneous Addition and Subtraction,https://youtu.be/w-vgTJ_UTS8,partial,22
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Introduction to Nikhilam Sutra,https://youtu.be/bYo-YSN4TBw,partial,1
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Single-Digit Numbers less than Base,https://youtu.be/AaTqWv7nCrw,partial,2
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Single-Digit Numbers more than Base,https://youtu.be/y_tFLFpgopQ,partial,3
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Two-Digit Numbers less than Base,https://youtu.be/ecLbOEu8nl0,partial,4
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Two-Digit Numbers more than Base,https://youtu.be/p9eGUBc8BQ4,partial,5
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication when One Number is above Base & Other Below,https://youtu.be/VUdjqqmiepA,partial,6
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Three-Digit Numbers less than Base,https://youtu.be/we--m99OmdQ,partial,7
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Three-Digit Numbers more than Base,https://youtu.be/b5KA99Bl6eQ,partial,8
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication when One Number is above & Other Below Base,https://youtu.be/gL_LXe7wCiI,partial,9
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Numbers with Different Bases (Less),https://youtu.be/PvN3k3qb2o4,partial,10
Module 2 – Nikhilam Sutra: Base Method of Multiplication,Multiplication of Numbers with Different Bases (More & Mix),https://youtu.be/jrNaIBxw3xM,partial,11
Module 2 – Nikhilam Sutra: Base Method of Multiplication,"Multiplying Numbers Closer to 20, 30, 40, ...",https://youtu.be/T3uUU_3Y9g0,partial,12
Module 2 – Nikhilam Sutra: Base Method of Multiplication,"Multiplying Numbers Closer to 200, 300, 400, ...",https://youtu.be/poKX15ew_VE,partial,13
Module 2 – Nikhilam Sutra: Base Method of Multiplication,"Multiplying Numbers Closer to 2000, 3000, 4000, ...",https://youtu.be/rJf7AKOK1Vk,partial,14
 Module 3 – Urdhva-Tiryagbhyam Sutra: Vertical & Cross Multiplication,Introduction to Urdhva-Tiryagbhyam Sutra,https://youtu.be/B_m1mK6ykP8,partial,1
 Module 3 – Urdhva-Tiryagbhyam Sutra: Vertical & Cross Multiplication,2-digit × 2-digit Multiplication,https://youtu.be/OeKR04k0Xeo,partial,2
 Module 3 – Urdhva-Tiryagbhyam Sutra: Vertical & Cross Multiplication,Multiplication of 2-digit × 1-digit Numbers,https://youtu.be/2Aa8LUF-NCs,partial,3
 Module 3 – Urdhva-Tiryagbhyam Sutra: Vertical & Cross Multiplication,3-digit × 3-digit Multiplication,https://youtu.be/5E5Zr4REhYg,partial,4
 Module 3 – Urdhva-Tiryagbhyam Sutra: Vertical & Cross Multiplication,4-digit × 4-digit Multiplication,https://youtu.be/1DelGWgyBnI,partial,5
 Module 3 – Urdhva-Tiryagbhyam Sutra: Vertical & Cross Multiplication,Multiplication involving Decimals,https://youtu.be/4dhmHGPLBkE,partial,6
Module 4 – Multiplication of Special Cases,"Antyayordashke (10, 100, 1000 Multiples): Conditions",https://youtu.be/hyH5Ss6yEjo,partial,1
Module 4 – Multiplication of Special Cases,"Application of Antyayordakshe (10, 100, 1000 Multiples)",https://youtu.be/5kwJkFxFuIc,partial,2
Module 4 – Multiplication of Special Cases,"Multiplication by Numbers like 999, 9999",https://youtu.be/g7yBWDRnxrY,partial,3
Module 4 – Multiplication of Special Cases,Multiplication by 11 and its Pattern,https://youtu.be/tDHtekthUCg,partial,4
Module 4 – Multiplication of Special Cases,"Multiplying by Multiples of 11 (22, 33, 44, 55…)",https://youtu.be/FCJULISC8Es,partial,5
Module 4 – Multiplication of Special Cases,Multiplication by 111,https://youtu.be/uHjXeMxSGPc,partial,6
Module 4 – Multiplication of Special Cases,Multiplication by 101 & 1001,https://youtu.be/YkMXOBbIivc,partial,7
Module 4 – Multiplication of Special Cases,Multiplication by 12–17 using Sopantyadvayamantyam,https://youtu.be/xeMFhZpe8v8,partial,8
Module 4 – Multiplication of Special Cases,Applying Multiplication Sutras in Algebraic Expressions,https://youtu.be/eDJ_zSVjFXs,partial,9
Module 4 – Multiplication of Special Cases,Finding Sum of Products,https://youtu.be/iZyT7nelrmI,partial,10
Module 5 – Doubling & Halving,Doubling,https://youtu.be/7Yhm85qTaJ8,partial,1
Module 5 – Doubling & Halving,Application of Doubling,https://youtu.be/WJBogvnKfeE,partial,2
Module 5 – Doubling & Halving,Halving,https://youtu.be/3XRsMexOsP0,partial,3
Module 5 – Doubling & Halving,Application of Halving,https://youtu.be/FXUHpIxTl2g,partial,4
Module 6 - Squaring,Square by Anurupyena,https://youtu.be/WeCJ0TVye5c,partial,1
Module 6 - Squaring,Duplex Method for 2 digit numbers,https://youtu.be/2kI99xyWHpE,partial,2
Module 6 - Squaring,Duplex Method for 2 digit numbers / Part 2,https://youtu.be/RGP72KaYE5I,partial,3
Module 6 - Squaring,Numbers ending with 5,https://youtu.be/pGPDs058SLA,partial,4
Module 6 - Squaring,Numbers starting with 5 & Antyayordashke special case,https://youtu.be/VGweeU3mnzU,partial,5
Module 6 - Squaring,"Squaring numbers near 50, 500, 5000",https://youtu.be/9reC5nZNJ0k,partial,6
Module 6 - Squaring,Squaring of any 2 digit number using Box Method,https://youtu.be/iQgphA9uikQ,partial,7
Module 6 - Squaring,Squaring using Yavadunam Method,https://youtu.be/FB6Dsbuao2I,partial,8
Module 6 - Squaring,Numbers ending with 6 or 4,https://youtu.be/A8sDrjxyG5Q,partial,9
Module 6 - Squaring,Universal Square Method,https://youtu.be/JndMR3dGjPs,partial,10
Module 6 - Squaring,Duplex Method for 3 digit numbers,https://youtu.be/dqJh-1UIo9k,partial,11
Module 6 - Squaring,Duplex Method for 4 & 5 digit numbers,https://youtu.be/VwwN8vYWEu8,partial,12
Module 6 - Squaring,Algebraic Squares,https://youtu.be/jcJZrsuhJcA,partial,13
Module 7- Cubing,Introduction to Cubes,https://youtu.be/klCeJqNOv5s,partial,1
Module 7- Cubing,Cube of 2 digit numbers by Anurupyena - Part 1,https://youtu.be/Ji0sUTN72rQ,partial,2
Module 7- Cubing,Cube of 2 digit numbers by Anurupyena - Part 2,https://youtu.be/nKUBjeft-X4,partial,3
Module 7- Cubing,Cubes of 3-digit numbers,https://youtu.be/YFFkNQHS4Ws,partial,4
Module 7- Cubing,Nikhilam method for cubes,https://youtu.be/W51prO6ylR0,partial,5
Module 7- Cubing,Yavadunam method for cubes,https://youtu.be/umBoBo7ycy4,partial,6
Module 8- Division,"Division by 5, 25, 125, 8",https://youtu.be/vL2nmKUE5is,full,1
Module 8- Division,Division by 9,https://youtu.be/QjBH5phkOBc,full,2
Module 8- Division,Division by Nikhilam (Close to Base 10),https://youtu.be/1bbQNDQ8UFg,full,3
Module 8- Division,Division by Nikhilam (Close to Base 100),https://youtu.be/87urKqFnja8,full,4
Module 8- Division,Division by Nikhilam (Close to Base 1000),https://youtu.be/kgfA_-3enZI,full,5
Module 8- Division,Division by Paravartya Sutra,https://youtu.be/p63VqIFA6LE,full,6
Module 8- Division,Division by Anurupyena Sutra,https://youtu.be/-cQiq9IFbmU,full,7
Module 8- Division,Vinculum Process of Division,https://youtu.be/EDS30jd_lK0,full,8
Module 8- Division,Dhwajanka Sutra / Direct Flag Division (Case-1),https://youtu.be/kXarH0sS7ds,full,9
Module 8- Division,Dhwajanka Sutra / Direct Flag Division (Case-2),https://youtu.be/Jw9fqExr9f8,full,10
Module 8- Division,Dhwajanka Sutra / Direct Flag Division (Case-3),https://youtu.be/Xgp5jJerFxk,full,11
Module 8- Division,Division by Ekadhikena Purvena,https://youtu.be/JFGHVkMQCOs,full,12
Module 8- Division,Kevalaih Saptakam Guniya,https://youtu.be/ZbGf8m8ty6c,full,13
Module 8- Division,Division of Polynomial Expressions,https://youtu.be/J5iT-YZ_Bm8,full,14
Module 9- HCF & LCM,Finding HCF & LCM (Normal Method),https://youtu.be/6lIeSXzNT7g,full,1
Module 9- HCF & LCM,Finding HCF & LCM of 2 Numbers (Vedic Method),https://youtu.be/HzpO51MDl_o,full,2
Module 9- HCF & LCM,Finding HCF & LCM of 3 or More Numbers,https://youtu.be/6wvj5T8W27o,full,3
Module 10- Percentage,Percentage Part 1,https://youtu.be/Y0JkyxYus-Y,full,1
Module 10- Percentage,Percentage Part 2,https://youtu.be/KESwtau8uaU,full,2
Module 11- Square Root,Identifying Perfect & Imperfect Square Numbers,https://youtu.be/zIZLPoBIe_Q,full,1
Module 11- Square Root,Square Roots using Vilokanam Sutra,https://youtu.be/UU-RjkafOIE,full,2
Module 11- Square Root,Square Roots of Perfect & Imperfect Square Numbers using Division Method,https://youtu.be/92b6rpIUX18,full,3
Module 11- Square Root,Square Roots using Dwandvayoga Sutra (Perfect Square Numbers),https://youtu.be/u-XVIcsxc-0,full,4
Module 11- Square Root,Square Roots using Dwandvayoga Sutra (Imperfect Square Numbers),https://youtu.be/uhOb2xn1sSM,full,5
Module 12- Cube Root,Cube Roots by Vilokanam Sutra (Observation Method),https://youtu.be/AKc3nbsrGvk,full,1
Module 12- Cube Root,Cube Roots of Large Numbers (8–10 Digits),https://youtu.be/1k_wSp27-gk,full,2
Module 12- Cube Root,Cube Roots using Division Method (Perfect Cube),https://youtu.be/_U-np6q0jMU,full,3
Module 12- Cube Root,Cube Roots using Division Method (Imperfect Cube),https://youtu.be/BbUvHS-YwPs,full,4
Module 13- Divisibility Rules,Divisibility Rules for 2–10 using Vilokanam Sutra,https://youtu.be/nZPsCaAQwWo,full,1
Module 13- Divisibility Rules,"Divisibility for Numbers Ending in 1, 3, 7, 9 using Veshtanam Sutra",https://youtu.be/5LGPpaAG2Uk,full,2